Re,alpha_deg,CL,CD,CM
3019.874,7.2894053,0.4327923,0.109510794,-0.03984347
1596.9388,7.2894053,0.42929247,0.1285653,-0.03621148
640.6333,7.2894053,0.409177,0.17261873,-0.030965835
160.16696,7.2894053,0.45159557,0.32615805,-0.03662533
99939.836,4.401914,0.92523265,0.019507047,-0.10121503
99459.37,4.401914,0.924851,0.019588359,-0.10122285
98503.06,4.401914,0.92405725,0.019754427,-0.10123763
97080.125,4.401914,0.92279017,0.020012591,-0.10125704
95204.266,4.401914,0.92094135,0.020374829,-0.101276375
92893.55,4.401914,0.91833925,0.020859282,-0.10128651
90170.22,4.401914,0.9147023,0.02149222,-0.10126901
87060.51,4.401914,0.9095803,0.022311382,-0.10118838
83594.37,4.401914,0.9022578,0.023370458,-0.10098249
79805.18,4.401914,0.89169955,0.024746211,-0.100566804
75729.43,4.401914,0.8765948,0.026552621,-0.09988159
71406.375,4.401914,0.85489154,0.028988285,-0.09891282
66877.65,4.401914,0.8210653,0.032435536,-0.09732878
62186.86,4.401914,0.7715196,0.037126895,-0.09483819
57379.188,4.401914,0.71949524,0.042366374,-0.092682384
52500.93,4.401914,0.67207813,0.047476172,-0.09114868
47599.07,4.401914,0.6249762,0.052196108,-0.0894911
42720.812,4.401914,0.5732959,0.056454703,-0.087276004
37913.14,4.401914,0.5132135,0.060001656,-0.08412688
33222.35,4.401914,0.40574056,0.06048134,-0.07218118
28693.623,4.401914,0.29269725,0.058908552,-0.05310855
24370.568,4.401914,0.2965255,0.05976819,-0.052494932
20294.82,4.401914,0.2949994,0.060888246,-0.050747436
16505.63,4.401914,0.29382437,0.06234314,-0.048908092
13039.491,4.401914,0.29205626,0.064438716,-0.046903368
9929.784,4.401914,0.28937048,0.06746158,-0.044613037
7206.456,4.401914,0.2854991,0.071908265,-0.04198544
4895.735,4.401914,0.28109753,0.078800865,-0.03920021
3019.874,4.401914,0.27632684,0.090182744,-0.036378495
1596.9388,4.401914,0.27052072,0.11141628,-0.03389396
640.6333,4.401914,0.25830114,0.15770525,-0.03173412
