alpha_deg,Re,CL,CD,CM
22.228535,62186.86,0.74130183,0.26362246,-0.08370934
22.228535,57379.188,0.7515617,0.265272,-0.085115366
22.228535,52500.93,0.9016615,0.27472588,-0.105042875
22.228535,47599.07,1.064676,0.28687903,-0.12721385
22.228535,42720.812,1.0683922,0.2894385,-0.12871608
22.228535,37913.14,1.064945,0.29167005,-0.12953812
22.228535,33222.35,1.0653387,0.29389033,-0.13119069
22.228535,28693.623,1.063591,0.29605404,-0.13305424
22.228535,24370.568,1.0601139,0.29836038,-0.13518469
22.228535,20294.82,1.0547531,0.3004384,-0.13781537
22.228535,16505.63,1.0477169,0.3022643,-0.14097546
22.228535,13039.491,1.0396682,0.3038439,-0.14499584
22.228535,9929.784,1.0227692,0.30353937,-0.14864095
22.228535,7206.456,0.97925943,0.30039668,-0.14656274
22.228535,4895.735,0.94380116,0.29199886,-0.13419968
22.228535,3019.874,0.94363576,0.29106262,-0.12874289
22.228535,1596.9388,0.94920677,0.2967294,-0.11943002
22.228535,640.6333,0.9383084,0.3259778,-0.102425694
22.228535,160.16696,0.8770356,0.44617006,-0.067851044
20.146769,99939.836,0.79654294,0.24390537,-0.07852196
20.146769,99459.37,0.79607725,0.2438588,-0.07848778
20.146769,98503.06,0.795359,0.24377546,-0.078445606
20.146769,97080.125,0.7947263,0.24367307,-0.07843828
20.146769,95204.266,0.79450786,0.24357355,-0.078509435
20.146769,92893.55,0.7948841,0.24349631,-0.078687266
20.146769,90170.22,0.7957868,0.24345417,-0.07897424
20.146769,87060.51,0.7969013,0.24344952,-0.079348885
20.146769,83594.37,0.7976918,0.2434721,-0.07977033
20.146769,79805.18,0.7975436,0.2435037,-0.08019253
20.146769,75729.43,0.79607815,0.24353828,-0.08059264
20.146769,71406.375,0.7933422,0.24360193,-0.08096152
20.146769,66877.65,0.7877088,0.24368435,-0.080998525
20.146769,62186.86,0.77360505,0.24367742,-0.07985959
20.146769,57379.188,0.7594463,0.24415275,-0.078600764
20.146769,52500.93,0.82901466,0.24911407,-0.08857955
20.146769,47599.07,0.9831591,0.25945312,-0.11032606
20.146769,42720.812,1.00865,0.26298812,-0.11515322
20.146769,37913.14,1.0030524,0.26485738,-0.116185896
20.146769,33222.35,1.0011094,0.2671715,-0.118243
20.146769,28693.623,0.9975159,0.26926482,-0.12058337
20.146769,24370.568,0.9920176,0.2710962,-0.12308332
20.146769,20294.82,0.984352,0.2726266,-0.125874
20.146769,16505.63,0.9755001,0.27363777,-0.12931208
20.146769,13039.491,0.9627502,0.27401483,-0.13257599
20.146769,9929.784,0.9344467,0.2721209,-0.13456489
20.146769,7206.456,0.8673027,0.26181206,-0.11988261
20.146769,4895.735,0.86791766,0.26028058,-0.11618718
20.146769,3019.874,0.87018627,0.26098356,-0.11044328
20.146769,1596.9388,0.88184386,0.26878467,-0.101213
20.146769,640.6333,0.83599293,0.29867148,-0.08070814
20.146769,160.16696,0.8115583,0.42252022,-0.053695615
17.87098,99939.836,1.4633397,0.14757992,-0.024143636
17.87098,99459.37,1.4624804,0.14770511,-0.024080213
17.87098,98503.06,1.4606335,0.1479526,-0.023951134
17.87098,97080.125,1.4575291,0.14831653,-0.023752356
17.87098,95204.266,1.4527292,0.1487859,-0.023479436
17.87098,92893.55,1.4456136,0.14934523,-0.023130974
17.87098,90170.22,1.4354285,0.14997895,-0.022711452
17.87098,87060.51,1.421563,0.15068118,-0.022230763
17.87098,83594.37,1.4043823,0.15145917,-0.021711502
17.87098,79805.18,1.3856335,0.15240712,-0.021314636
17.87098,75729.43,1.3609701,0.15416554,-0.021811642
17.87098,71406.375,1.3104197,0.15729018,-0.026724163
17.87098,66877.65,0.88569534,0.21948607,-0.085260324
17.87098,62186.86,0.8289347,0.22298022,-0.08134592
17.87098,57379.188,0.81079656,0.22316293,-0.080157876
17.87098,52500.93,0.82682484,0.22429994,-0.08306016
17.87098,47599.07,0.91460973,0.22983965,-0.09638666
17.87098,42720.812,0.93961936,0.2328896,-0.101896055
17.87098,37913.14,0.9346777,0.23475698,-0.103859335
17.87098,33222.35,0.93203205,0.2367466,-0.10638366
