Re,alpha_deg,CL_fit,CD_fit,CM_fit
38459.438,-28.147871,-0.8244753,0.31701368,0.06601607
39467.312,-28.147871,-0.8264946,0.31612214,0.06608535
40475.188,-28.147871,-0.82815003,0.31520304,0.06617506
41483.062,-28.147871,-0.8290719,0.31446698,0.066255204
42490.938,-28.147871,-0.8290553,0.31406638,0.06630223
43498.812,-28.147871,-0.82809937,0.31405914,0.06630538
44506.69,-28.147871,-0.8263961,0.31439716,0.06626913
45514.566,-28.147871,-0.8242762,0.31494394,0.06621157
46522.44,-28.147871,-0.8221248,0.31551355,0.06615869
47530.316,-28.147871,-0.8202915,0.31592083,0.06613703
48538.19,-28.147871,-0.8190128,0.3160287,0.06616625
49546.066,-28.147871,-0.81836486,0.31578243,0.06625306
50553.938,-28.147871,-0.81825763,0.31522202,0.06638954
51561.812,-28.147871,-0.8184699,0.31447008,0.06655453
52569.688,-28.147871,-0.818713,0.31369913,0.06671892
53577.562,-28.147871,-0.81871027,0.3130871,0.066853054
54585.438,-28.147871,-0.81827044,0.31277162,0.06693394
55593.312,-28.147871,-0.81733763,0.3128149,0.06695165
56601.19,-28.147871,-0.81600565,0.3131888,0.066911876
57609.066,-28.147871,-0.814494,0.3137818,0.06683479
58616.94,-28.147871,-0.8130904,0.31442797,0.06675027
59624.816,-28.147871,-0.81207514,0.31494963,0.06669046
60632.69,-28.147871,-0.81164515,0.31520438,0.06668177
61640.566,-28.147871,-0.8118565,0.3151219,0.0667381
62648.44,-28.147871,-0.81260693,0.31472376,0.06685723
63656.32,-28.147871,-0.8136514,0.3141176,0.067021474
64664.195,-28.147871,-0.81466424,0.3134694,0.06720227
65672.07,-28.147871,-0.81532043,0.31295756,0.067367904
66679.945,-28.147871,-0.81538165,0.3127227,0.06749224
67687.82,-28.147871,-0.814764,0.3128266,0.06756203
68695.695,-28.147871,-0.813565,0.3132313,0.067580685
69703.57,-28.147871,-0.8120429,0.3138072,0.06756741
70711.445,-28.147871,-0.8105476,0.31436825,0.0675509
71719.32,-28.147871,-0.8094244,0.31472766,0.067560464
72727.195,-28.147871,-0.80890965,0.31475645,0.06761582
73735.08,-28.147871,-0.8090561,0.31442922,0.067719325
